Year,Month,Day,Count
11,01,01,1548
11,01,02,712
11,01,03,885
11,01,04,845
11,01,05,896
11,01,06,889
11,01,07,937
11,01,08,837
11,01,09,749
11,01,10,918
11,01,11,846
11,01,12,910
11,01,13,937
11,01,14,987
11,01,15,895
11,01,16,769
11,01,17,809
11,01,18,884
11,01,19,933
11,01,20,818
11,01,21,840
11,01,22,756
11,01,23,811
11,01,24,844
11,01,25,914
11,01,26,919
11,01,27,842
11,01,28,902
11,01,29,826
11,01,30,756
11,01,31,794
11,02,01,700
11,02,02,320
11,02,03,524
11,02,04,669
11,02,05,705
11,02,06,653
11,02,07,763
11,02,08,718
11,02,09,762
11,02,10,780
11,02,11,891
11,02,12,828
11,02,13,780
11,02,14,876
11,02,15,920
11,02,16,935
11,02,17,980
11,02,18,1071
11,02,19,882
11,02,20,761
11,02,21,705
11,02,22,855
11,02,23,860
11,02,24,882
11,02,25,910
11,02,26,856
11,02,27,783
11,02,28,866
11,03,01,1055
11,03,02,822
11,03,03,933
11,03,04,941
11,03,05,783
11,03,06,723
11,03,07,847
11,03,08,916
11,03,09,931
11,03,10,946
11,03,11,1076
11,03,12,959
11,03,13,777
11,03,14,918
11,03,15,930
11,03,16,1054
11,03,17,1077
11,03,18,1104
11,03,19,928
11,03,20,806
11,03,21,985
11,03,22,916
11,03,23,936
11,03,24,893
11,03,25,1022
11,03,26,862
11,03,27,845
11,03,28,899
11,03,29,917
11,03,30,939
11,03,31,959
11,04,01,1080
11,04,02,1106
11,04,03,947
11,04,04,1031
11,04,05,992
11,04,06,1029
11,04,07,970
11,04,08,1028
11,04,09,948
11,04,10,1113
11,04,11,1006
11,04,12,969
11,04,13,1034
11,04,14,1028
11,04,15,1023
11,04,16,924
11,04,17,913
11,04,18,905
11,04,19,777
11,04,20,880
11,04,21,892
11,04,22,894
11,04,23,986
11,04,24,848
11,04,25,930
11,04,26,947
11,04,27,988
11,04,28,963
11,04,29,979
11,04,30,976
11,05,01,1147
11,05,02,966
11,05,03,993
11,05,04,1025
11,05,05,1078
11,05,06,1063
11,05,07,973
11,05,08,942
11,05,09,1057
11,05,10,1076
11,05,11,1111
11,05,12,1045
11,05,13,1174
11,05,14,929
11,05,15,918
11,05,16,968
11,05,17,1040
11,05,18,955
11,05,19,1060
11,05,20,1115
